id,type,text1,text2,text3,text4,notes
WthC_conquest_IE,SHIP,"A special Conquest-class battlecruiser marked with a golden crescent moon and blue rose petals on its hull, clearly having undergone extensive modifications at the Crimson Fortress. These RIE-marked ships typically replace all missile hardpoints with various elemental nodes and favor beam weapons in combat.

Compared to the more common version, most of this Conquest's weapon groups have been reoriented to fire forward instead of broadside, and the previously abundant ballistic weapon slots have been replaced with energy weapons that better suit the modifier's aesthetic.

While this approach is undoubtedly insane and completely contradicts the original design philosophy of the Conquest-class battlecruiser, the resulting benefits may not be as immediately apparent as many captains might expect.

After all, the Conquest (RIE) still operates within the framework of the Conquest series, and its battlefield performance remains a unique blend of risk and opportunity, just as it was in the past.",,,,
WthC_conquest_IE_B,SHIP,"This peculiar Conquest (RIE) appears to have undergone some mysterious ritual, allowing it to unleash extraordinary potential under certain conditions. The S-mark indicates that this battleship was once given to a certain witch and often served as her flagship.

While the battlefield performance of these B-marked RIE ships is substantially improved, most crew members refuse to serve on these vessels, which seem as if they've returned from hell. Increasing evidence suggests that fighting on ""Pale"" ships always comes with bizarre dangers. According to crew reports, these dangers include but are not limited to: ""flux networks mysteriously overloading while passing through secure pipeline sections,"" ""life support systems intermittently failing after entering combat,"" ""minor external damage precisely causing crew fatalities,"" and ""crew members mysteriously disappearing after hearing eerie laughter.""

Whether these reports are credible or not, the significantly higher mortality rate serves as a warning that any powerful force from an unknown source comes at a cost.

As you are forced to replace veteran crew with less determined recruits, these ships often lose combat effectiveness faster than their counterparts in high-pressure battles. Fortunately, their internal structure is similar to standard RIE ships, minimizing the need for changes in tactical doctrine and maintenance.

Among all the special ships that have undergone the Pale ritual, this Pale Voyager is perhaps the most normal by comparison. It simply possesses the characteristics typical of its kind, and even its appearance is only slightly faded.

Yet this ""normalcy"" feels like a form of ""strangeness,"" as in your experience, inexplicable phenomena are what one would expect from these ships. Perhaps this also suggests a deep connection between the Enchantress and the one who created this phenomenon?",,,,
WthC_conquest_IE_B_N,SHIP,"This peculiar Conquest (RIE) appears to have undergone some mysterious ritual, allowing it to unleash extraordinary potential under certain conditions. The S-mark indicates that this battleship was once given to a certain witch and often served as her flagship.

While the battlefield performance of these B-marked RIE ships is substantially improved, most crew members refuse to serve on these vessels, which seem as if they've returned from hell. Increasing evidence suggests that fighting on ""Pale"" ships always comes with bizarre dangers. According to crew reports, these dangers include but are not limited to: ""flux networks mysteriously overloading while passing through secure pipeline sections,"" ""life support systems intermittently failing after entering combat,"" ""minor external damage precisely causing crew fatalities,"" and ""crew members mysteriously disappearing after hearing eerie laughter.""

Whether these reports are credible or not, the significantly higher mortality rate serves as a warning that any powerful force from an unknown source comes at a cost.

As you are forced to replace veteran crew with less determined recruits, these ships often lose combat effectiveness faster than their counterparts in high-pressure battles. Fortunately, their internal structure is similar to standard RIE ships, minimizing the need for changes in tactical doctrine and maintenance.

Among all the special ships that have undergone the Pale ritual, this Pale Voyager is perhaps the most normal by comparison. It simply possesses the characteristics typical of its kind, and even its appearance is only slightly faded.

Yet this ""normalcy"" feels like a form of ""strangeness,"" as in your experience, inexplicable phenomena are what one would expect from these ships. Perhaps this also suggests a deep connection between the Enchantress and the one who created this phenomenon?",,,,
WthC_pegasus_IE,SHIP,"A special Pegasus-class battleship marked with a golden crescent moon and blue rose petals on its hull, clearly having undergone extensive modifications at the Crimson Fortress. These RIE-marked ships typically replace all missile hardpoints with various elemental nodes and favor beam weapons in combat.

Compared to the more common version, this Pegasus has had its iconic large missile launchers completely removed. The space once occupied by vast missile reserves has been repurposed for an improved flux network, turning it into a more conventional battleship.

To fully exploit the infinite possibilities offered by its numerous weapon slots, the Pegasus (RIE) is equipped with an experimental Stellar Core Overload Protocol, allowing it to unleash unexpected performance in short bursts.

However, this erratic performance shift is difficult for most Persean Sector captains and crews to accept on such a massive capital ship, making it quite challenging to unlock its full potential.",,,,
WthC_pegasus_IE_B,SHIP,"This peculiar Pegasus (RIE) appears to have undergone some mysterious ritual, allowing it to unleash extraordinary potential under certain conditions. The S-mark indicates that this battleship was once given to a certain witch and often served as her flagship.

While the battlefield performance of these B-marked RIE ships is substantially improved, most crew members refuse to serve on these vessels, which seem as if they've returned from hell. Increasing evidence suggests that fighting on ""Pale"" ships always comes with bizarre dangers. According to crew reports, these dangers include but are not limited to: ""flux networks mysteriously overloading while passing through secure pipeline sections,"" ""life support systems intermittently failing after entering combat,"" ""minor external damage precisely causing crew fatalities,"" and ""crew members mysteriously disappearing after hearing eerie laughter.""

Whether these reports are credible or not, the significantly higher mortality rate serves as a warning that any powerful force from an unknown source comes at a cost.

As you are forced to replace veteran crew with less determined recruits, these ships often lose combat effectiveness faster than their counterparts in high-pressure battles. Fortunately, their internal structure is similar to standard RIE ships, minimizing the need for changes in tactical doctrine and maintenance.

This ship... which constantly exudes an eerie aura, belongs to a witch who is biologically long dead... Yes, after demons and witches, the appearance of a ghost seems fitting. The only good news is that the Soul Witch is not somewhere in the Crimson Fortress, nor will she come into close contact with you. She has simply left this equally cursed ship, filled with paranormal events, to you... and awaits more brave souls to embark on this inevitably vanishing journey.",,,,
WthC_pegasus_IE_B_N,SHIP,"This peculiar Pegasus (RIE) appears to have undergone some mysterious ritual, allowing it to unleash extraordinary potential under certain conditions. The S-mark indicates that this battleship was once given to a certain witch and often served as her flagship.

While the battlefield performance of these B-marked RIE ships is substantially improved, most crew members refuse to serve on these vessels, which seem as if they've returned from hell. Increasing evidence suggests that fighting on ""Pale"" ships always comes with bizarre dangers. According to crew reports, these dangers include but are not limited to: ""flux networks mysteriously overloading while passing through secure pipeline sections,"" ""life support systems intermittently failing after entering combat,"" ""minor external damage precisely causing crew fatalities,"" and ""crew members mysteriously disappearing after hearing eerie laughter.""

Whether these reports are credible or not, the significantly higher mortality rate serves as a warning that any powerful force from an unknown source comes at a cost.

As you are forced to replace veteran crew with less determined recruits, these ships often lose combat effectiveness faster than their counterparts in high-pressure battles. Fortunately, their internal structure is similar to standard RIE ships, minimizing the need for changes in tactical doctrine and maintenance.

This ship... which constantly exudes an eerie aura, belongs to a witch who is biologically long dead... Yes, after demons and witches, the appearance of a ghost seems fitting. The only good news is that the Soul Witch is not somewhere in the Crimson Fortress, nor will she come into close contact with you. She has simply left this equally cursed ship, filled with paranormal events, to you... and awaits more brave souls to embark on this inevitably vanishing journey.",,,,
WthC_fury_IE,SHIP,"A special Fury-class light cruiser marked with a golden crescent moon and blue rose petals on its hull, clearly having undergone extensive modifications at the Crimson Fortress. These RIE-marked ships typically replace all missile hardpoints with various elemental nodes and favor beam weapons in combat.

Compared to the more common version, this Fury has undergone a... symmetrical redesign, with its weapon groups adjusted to better suit the modifier's aesthetic and tactical style. The clearly biased hull modifications also make it more difficult to handle, often requiring the most experienced captains and elite crews to unlock its true potential.

To better fit its role as an ""assassin"" on the battlefield, the Fury (RIE) is equipped with the Stellar Core Overload Protocol, becoming more lethal while also facing greater risks.",,,,
WthC_fury_IE_B,SHIP,"This peculiar Fury (RIE) appears to have undergone some mysterious ritual, allowing it to unleash extraordinary potential under certain conditions.

While the battlefield performance of these B-marked RIE ships is substantially improved, most crew members refuse to serve on these vessels, which seem as if they've returned from hell. Increasing evidence suggests that fighting on ""Pale"" ships always comes with bizarre dangers. According to crew reports, these dangers include but are not limited to: ""flux networks mysteriously overloading while passing through secure pipeline sections,"" ""life support systems intermittently failing after entering combat,"" ""minor external damage precisely causing crew fatalities,"" and ""crew members mysteriously disappearing after hearing eerie laughter.""

Whether these reports are credible or not, the significantly higher mortality rate serves as a warning that any powerful force from an unknown source comes at a cost.

As you are forced to replace veteran crew with less determined recruits, these ships often lose combat effectiveness faster than their counterparts in high-pressure battles. Fortunately, their internal structure is similar to standard RIE ships, minimizing the need for changes in tactical doctrine and maintenance.",,,,

WthC_champion_IE,SHIP,"A special Champion-class heavy cruiser marked with a golden crescent moon and blue rose petals on its hull, clearly having undergone extensive modifications at the Crimson Fortress. These RIE-marked ships typically replace all missile hardpoints with various elemental nodes and favor beam weapons in combat.

Compared to the more common version, this special Champion has enhanced the firepower of its conventional weapon groups and is equipped with the Stellar Concentration Protocol, which redirects subsystem focus to weapon output efficiency. This means that most small and medium-sized ships entering its weapon range will face utter destruction.

However, the Champion (RIE) also becomes more cumbersome and loses flexibility, making rapid deployment to advantageous positions another significant challenge.",,,,
WthC_champion_IE_B,SHIP,"This peculiar Champion (RIE) appears to have undergone some mysterious ritual, allowing it to unleash extraordinary potential under certain conditions.

While the battlefield performance of these B-marked RIE ships is substantially improved, most crew members refuse to serve on these vessels, which seem as if they've returned from hell. Increasing evidence suggests that fighting on ""Pale"" ships always comes with bizarre dangers. According to crew reports, these dangers include but are not limited to: ""flux networks mysteriously overloading while passing through secure pipeline sections,"" ""life support systems intermittently failing after entering combat,"" ""minor external damage precisely causing crew fatalities,"" and ""crew members mysteriously disappearing after hearing eerie laughter.""

Whether these reports are credible or not, the significantly higher mortality rate serves as a warning that any powerful force from an unknown source comes at a cost.

As you are forced to replace veteran crew with less determined recruits, these ships often lose combat effectiveness faster than their counterparts in high-pressure battles. Fortunately, their internal structure is similar to standard RIE ships, minimizing the need for changes in tactical doctrine and maintenance.",,,,
WthC_dominator_IE,SHIP,"A special Dominator-class heavy cruiser marked with a golden crescent moon and blue rose petals on its hull, clearly having undergone extensive modifications at the Crimson Fortress. These RIE-marked ships typically replace all missile hardpoints with various elemental nodes and favor beam weapons in combat.

Compared to the more common version, this Dominator has made significant improvements in energy management. A complete weapon maintenance module replaces the original powerful missile array, shifting its core focus to more flexible large weapon options.

Unlike its older sibling, the Onslaught (RIE), even after undergoing a series of modifications, the Dominator (RIE) remains a sturdy, reliable ship suited for frontline combat. In most scenarios, it is even better suited to play the role of a space tank on the battlefield.",,,,
WthC_dominator_IE_B,SHIP,"This peculiar Dominator (RIE) appears to have undergone some mysterious ritual, allowing it to unleash extraordinary potential under certain conditions.

While the battlefield performance of these B-marked RIE ships is substantially improved, most crew members refuse to serve on these vessels, which seem as if they've returned from hell. Increasing evidence suggests that fighting on ""Pale"" ships always comes with bizarre dangers. According to crew reports, these dangers include but are not limited to: ""flux networks mysteriously overloading while passing through secure pipeline sections,"" ""life support systems intermittently failing after entering combat,"" ""minor external damage precisely causing crew fatalities,"" and ""crew members mysteriously disappearing after hearing eerie laughter.""

Whether these reports are credible or not, the significantly higher mortality rate serves as a warning that any powerful force from an unknown source comes at a cost.

As you are forced to replace veteran crew with less determined recruits, these ships often lose combat effectiveness faster than their counterparts in high-pressure battles. Fortunately, their internal structure is similar to standard RIE ships, minimizing the need for changes in tactical doctrine and maintenance.",,,,
WthC_Holysee_IE_B,SHIP,"An extremely bizarre capital ship, equally difficult to face or command.

While the battlefield performance of these B-marked RIE ships is substantially improved, most crew members refuse to serve on these vessels, which seem as if they've returned from hell. Increasing evidence suggests that fighting on ""Pale"" ships always comes with bizarre dangers. According to crew reports, these dangers include but are not limited to: ""flux networks mysteriously overloading while passing through secure pipeline sections,"" ""life support systems intermittently failing after entering combat,"" ""minor external damage precisely causing crew fatalities,"" and ""crew members mysteriously disappearing after hearing eerie laughter.""

Whether these reports are credible or not, the significantly higher mortality rate serves as a warning that any powerful force from an unknown source comes at a cost.

As you are forced to replace veteran crew with less determined recruits, these ships often lose combat effectiveness faster than their counterparts in high-pressure battles. Fortunately, their internal structure is similar to standard RIE ships, minimizing the need for changes in tactical doctrine and maintenance.

While such a massive hull might be the dream of every spacefaring crew, perhaps only a faction completely unconcerned with practicality would build these monsters that cannot integrate into normal fleets.",,,,

WthC_paragon_IE,SHIP,"A special Paragon-class battleship marked with a golden crescent moon and blue rose petals on its hull, clearly having undergone extensive modifications at the Crimson Fortress. These RIE-marked ships typically replace all missile hardpoints with various elemental nodes and favor beam weapons in combat. The S-mark indicates that this battleship was once given to a certain witch and often served as her flagship.

Compared to other RIE ships, this Paragon is more visually distinctive, as if refurbished with a large number of Remnant components. Its most iconic features are the ranging array built from four pairs of Breeze Tactical Lasers and two peculiar Void Elemental Nodes.

The Paragon-class battleship is already an exceedingly rare high-end flagship in the Persean Sector. After undergoing RIE modifications that further enhance its elite status, it unleashes terrifying war potential. A more aggressive Stellar Concentration System replaces the original Fortress Shield, and its ability to project hard flux damage beyond visual range strikes fear into all enemy ships.

Even searching the entire Persean Sector, it would be difficult to find a ship more powerful than the Paragon (RIE). However, how to deploy such an overly cumbersome behemoth in an increasingly mobility-focused battlefield remains a pseudo-problem with no clear answer in military circles.

So... perhaps you should return the question to the one who posed it?",,,,
WthC_paragon_IE_N,SHIP,"A special Paragon-class battleship marked with a golden crescent moon and blue rose petals on its hull, clearly having undergone extensive modifications at the Crimson Fortress. These RIE-marked ships typically replace all missile hardpoints with various elemental nodes and favor beam weapons in combat. The S-mark indicates that this battleship was once given to a certain witch and often served as her flagship.

Compared to other RIE ships, this Paragon is more visually distinctive, as if refurbished with a large number of Remnant components. Its most iconic features are the ranging array built from four pairs of Breeze Tactical Lasers and two peculiar Void Elemental Nodes.

The Paragon-class battleship is already an exceedingly rare high-end flagship in the Persean Sector. After undergoing RIE modifications that further enhance its elite status, it unleashes terrifying war potential. A more aggressive Stellar Concentration System replaces the original Fortress Shield, and its ability to project hard flux damage beyond visual range strikes fear into all enemy ships.

Even searching the entire Persean Sector, it would be difficult to find a ship more powerful than the Paragon (RIE). However, how to deploy such an overly cumbersome behemoth in an increasingly mobility-focused battlefield remains a pseudo-problem with no clear answer in military circles.

So... perhaps you should return the question to the one who posed it?",,,,

WthC_Dreamer_IE,SHIP,"A special Dreamer-class fast battleship marked with a golden crescent moon and blue rose petals on its hull, clearly having undergone extensive modifications at the Crimson Fortress. These RIE-marked ships typically replace all missile hardpoints with various elemental nodes and favor beam weapons in combat. The S-mark indicates that this battleship was once given to a certain witch and often served as her flagship.

The Dreamer (RIE-S) is a representative flagship. Every detail reveals that the designer poured their heart and soul into this ship, making it one of the most theoretically expensive capital ships in the Persean Sector's conventional industrial system.

Of course... this lack of cost-effectiveness does have its rewards. The power displayed by this museum-piece-like behemoth is comprehensive, with mobility, firepower, armor, shield efficiency, and coverage all reaching exceptional levels. In most conventional conflicts, its theoretical performance will completely surpass the Paragon-class battleship, a benchmark of its era.

It is likely that obtaining such a balanced and powerful flagship is the dream of every Persean Sector captain... Yet, like a genuine collectible, this ship is one of a kind, once gifted by its creator as a symbolic present to their irreplaceable friend.

But why did it end up here?",,,,

WthC_Dreamer_IE_N,SHIP,"A special Dreamer-class fast battleship marked with a golden crescent moon and blue rose petals on its hull, clearly having undergone extensive modifications at the Crimson Fortress. These RIE-marked ships typically replace all missile hardpoints with various elemental nodes and favor beam weapons in combat. The S-mark indicates that this battleship was once given to a certain witch and often served as her flagship.

The Dreamer (RIE-S) is a representative flagship. Every detail reveals that the designer poured their heart and soul into this ship, making it one of the most theoretically expensive capital ships in the Persean Sector's conventional industrial system.

Of course... this lack of cost-effectiveness does have its rewards. The power displayed by this museum-piece-like behemoth is comprehensive, with mobility, firepower, armor, shield efficiency, and coverage all reaching exceptional levels. In most conventional conflicts, its theoretical performance will completely surpass the Paragon-class battleship, a benchmark of its era.

It is likely that obtaining such a balanced and powerful flagship is the dream of every Persean Sector captain... Yet, like a genuine collectible, this ship is one of a kind, once gifted by its creator as a symbolic present to their irreplaceable friend.

But why did it end up here?",,,,

WthC_Minerva_IE,SHIP,"A special Minerva-class small space fortress with a golden crescent and blue rose petal emblem on its hull, clearly having undergone extensive modifications at Crimson Citadel. These RIE-marked ships often replace all missile interfaces with several elemental nodes and prefer to use beam weapons in combat.

Unlike typical RIE ships, few Perseans have seen the original version of this ship, let alone its heavily modified form. It might just be that the original witch designer found the blueprint in the vast database of the Iris Temple and whimsically carried out these modifications.

Compared to other more common ships in Perseus, the Minerva (RIE) boasts an exceptionally large number of weapon slots, even though the flux network of this pocket fortress cannot effectively utilize all of them. Apart from a complete set of advanced targeting systems, the ship retains a vast internal space for modifications, allowing for considerable post-construction expansion, albeit at the cost of significantly reducing the space originally allocated for crew quarters and cargo holds.

In summary, this is a rather peculiar modified warship, and even any captain fortunate enough to board it cannot understand the practical significance of integrating modules directly into the main hull.

By the way, this is also the only ship equipped with all five elemental nodes, even though these weapons with clear tactical intentions seem incompatible when forced together.",,,,
WthC_Mithril_IE,SHIP,"A special Mithril-class battlecruiser with a golden crescent and blue rose petal emblem on its hull, clearly having undergone extensive modifications at Crimson Citadel. These RIE-marked ships often replace all missile interfaces with several elemental nodes and prefer to use beam weapons in combat.

As a versatile but not particularly outstanding ship, the ancient Mithril-class battlecruiser has not been favored by Perseans, and its presence is rare across the sector.

As a groundbreaking modified version, the Mithril (RIE) class possesses formidable firepower, sturdy armor, and excellent shield endurance, at the cost of some mobility. These changes have transformed this battlecruiser into a battleship with exceptional frontal capabilities.

It is best suited to serve as the backbone of a large fleet, relying on its reliable performance to win most frontal engagements.",,,,
WthC_Murderers_IE,SHIP,"A special Murderer-class battlecruiser with a golden crescent and blue rose petal emblem on its hull, clearly having undergone extensive modifications at Crimson Citadel. These RIE-marked ships often replace all missile interfaces with several elemental nodes and prefer to use beam weapons in combat.

As a next-generation ship, the Murderer-class battlecruiser features an extremely bold design, with only small and medium-sized weapons distributed across its hull and almost entirely abandoning firepower on all sides except the front. This makes it more inclined to charge straight in and destroy ships smaller than itself.

The Murderer (RIE) class further amplifies this ship's strengths. After installing the Stellar Mass-Energy Interference Protocol, it becomes an even faster and more firepower-intensive striker. However, the extreme modifications favoring frontal assault capabilities also mean this ship is ill-suited for tasks requiring versatility.

True to its name, its only specialty is quickly closing in and thoroughly "murdering" those more fragile than itself. By the way, this is also the only RIE ship not equipped with any elemental nodes or special weapons.",,,,
WthC_Mithril_IE_B,SHIP,"This bizarre Mithril (RIE) seems to have undergone some mysterious ritual, allowing it to unleash extraordinary potential under certain conditions. The S mark indicates that this warship was once given to a witch and often served as their flagship.

Although the battlefield performance of these B-marked RIE ships is significantly enhanced, most crew members refuse to serve on these ships, which seem as if they have just returned from hell. Increasing evidence suggests that fighting on "bleached" ships always comes with various bizarre dangers. According to crew reports, these dangers include but are not limited to "flux network mysteriously overloading while passing through safe pipe sections," "life support systems intermittently failing after entering combat," "minor external damage precisely causing crew deaths," and "crew members mysteriously disappearing after hearing eerie laughter."

Whether these mysterious reports are credible or not, the significantly higher mortality rate seems to warn you that any powerful force from unknown sources comes at a cost.

Because you have to fill the vacancies left by veterans with less determined recruits, these ships often lose combat capability faster than other ships of the same class in high-pressure battlefields. Fortunately, their internal structure is similar to ordinary RIE ships, so they don't require much extra effort in tactical doctrine or daily maintenance.

Just like in the past... the Cross Witches still dominate the battlefield, wielding their ornate scepters and proclaiming cruel decrees to win one tragic victory after another.",,,,
WthC_Mithril_IE_B_N,SHIP,"This bizarre Mithril (RIE) seems to have undergone some mysterious ritual, allowing it to unleash extraordinary potential under certain conditions. The S mark indicates that this warship was once given to a witch and often served as their flagship.

Although the battlefield performance of these B-marked RIE ships is significantly enhanced, most crew members refuse to serve on these ships, which seem as if they have just returned from hell. Increasing evidence suggests that fighting on "bleached" ships always comes with various bizarre dangers. According to crew reports, these dangers include but are not limited to "flux network mysteriously overloading while passing through safe pipe sections," "life support systems intermittently failing after entering combat," "minor external damage precisely causing crew deaths," and "crew members mysteriously disappearing after hearing eerie laughter."

Whether these mysterious reports are credible or not, the significantly higher mortality rate seems to warn you that any powerful force from unknown sources comes at a cost.

Because you have to fill the vacancies left by veterans with less determined recruits, these ships often lose combat capability faster than other ships of the same class in high-pressure battlefields. Fortunately, their internal structure is similar to ordinary RIE ships, so they don't require much extra effort in tactical doctrine or daily maintenance.

Just like in the past... the Cross Witches still dominate the battlefield, wielding their ornate scepters and proclaiming cruel decrees to win one tragic victory after another.",,,,
WthC_Mora_IE,SHIP,"A special Mora-class carrier with a golden crescent and blue rose petal emblem on its hull, clearly having undergone extensive modifications at Crimson Citadel. These RIE-marked ships often replace all missile interfaces with several elemental nodes and prefer to use beam weapons in combat.

The Mora-class carrier is an ancient design gradually being phased out by the times. With the increasing maturity of modular hangar technology, the tactical value of most standard carriers has sharply declined, and they now often appear only as stopgap measures in certain fleets.

As a modernized version, the Mora (RIE) class still adheres to the original concept of this ancient design: to block heavy fire on the frontlines while rapidly providing substantial fighter support. The new Stellar Dust Damper and two elemental nodes focused on support and interference have further enhanced the tactical value of this already reliable ship.

Of course... there is still no explanation as to why the designer always goes to great lengths to make these RIE ships perfectly symmetrical...",,,,
WthC_Mora_IE_B,SHIP,"This bizarre Mora (RIE) seems to have undergone some mysterious ritual, allowing it to unleash extraordinary potential under certain conditions.

Although the battlefield performance of these B-marked RIE ships is significantly enhanced, most crew members refuse to serve on these ships, which seem as if they have just returned from hell. Increasing evidence suggests that fighting on "bleached" ships always comes with various bizarre dangers. According to crew reports, these dangers include but are not limited to "flux network mysteriously overloading while passing through safe pipe sections," "life support systems intermittently failing after entering combat," "minor external damage precisely causing crew deaths," and "crew members mysteriously disappearing after hearing eerie laughter."

Whether these mysterious reports are credible or not, the significantly higher mortality rate seems to warn you that any powerful force from unknown sources comes at a cost.

Because you have to fill the vacancies left by veterans with less determined recruits, these ships often lose combat capability faster than other ships of the same class in high-pressure battlefields. Fortunately, their internal structure is similar to ordinary RIE ships, so they don't require much extra effort in tactical doctrine or daily maintenance.",,,,
WthC_Medusa_SS,SHIP,"A special Medusa-class destroyer with a faint fusion glow on its hull, seemingly having undergone a baptism known as Stellar Synchronization. These SS-marked ships often serve as strike platforms equipped with numerous elemental nodes.

The Medusa-class destroyer has always been touted as a fast, advanced, and deadly weapon, but its tactical value is often difficult to fully realize on the actual battlefield.

As one of only two destroyers from the Crimson Citadel system, the Medusa (SS) is not an outstanding choice. However, with further enhancements to its original strengths, it is at least more lethal than its prototype and more adept at raiding unprotected targets...",,,,
WthC_Alcedo_SS,SHIP,"A special Alcedo-class destroyer with a faint fusion glow on its hull, seemingly having undergone a baptism known as Stellar Synchronization. These SS-marked ships often serve as strike platforms equipped with numerous elemental nodes.

The Alcedo-class destroyer is a design with a rather ancient concept... seemingly intended only to supplement fighter support in fleets unable to support large carriers. However, with the gradual maturity of modular hangar technology, this tactical role has been casually adopted by most destroyers in the sector, further reducing its applicability.

In this context, the Alcedo (SS) as a modified version seems strangely born out of some personal whim... Perhaps the existence of this ship indirectly proves that, for the Crimson Lords, the creation of any space warship does not necessarily have to serve a meaningful purpose...",,,,
WthC_whitebird_SS,SHIP,"A special Whitebird-class micro-carrier with a faint fusion glow on its hull, seemingly having undergone a baptism known as Stellar Synchronization. These SS-marked ships often serve as strike platforms equipped with numerous elemental nodes.

The Whitebird-class micro-carrier is a... well, quite magical existence? Its hull is almost entirely composed of a barely functional flight deck, and the limited modification space on the ship is mostly used to deploy more sophisticated LPCs.

So... how did this ship, which has almost no practical significance on the battlefield, come into existence? And why is there even a special modified version?

Perhaps this will remain a forever mystery...",,,,

WthC_Brawler_SS,SHIP,"A special Brawler-class gunboat with a faint fusion glow on its hull, seemingly having undergone a baptism known as Stellar Synchronization. These SS-marked ships often serve as strike platforms equipped with numerous elemental nodes.

The Brawler-class gunboat has long been known as a deadly weapon in the Perseus sector. Among ships of the frigate class, you will rarely find anything faster or more lethal than these little vessels. Clearly, this Brawler (SS) is based on the most deadly variant, the Brawler (TT).

Paired with the numerous stellar elemental nodes integrated into its hull, it can often vaporize most insufficiently armored enemy ships in an instant when these deadly weapons are used properly. Let's hope you never encounter a fleet with a swarm of these things...",,,,
WthC_Centurion_SS,SHIP,"A special Centurion-class heavy frigate with a faint fusion glow on its hull, seemingly having undergone a baptism known as Stellar Synchronization. These SS-marked ships often serve as strike platforms equipped with numerous elemental nodes.

The Centurion-class heavy frigate is an exceptionally sturdy and reliable frigate. Even as fleet doctrines across Perseus shift toward favoring more missiles, the tactical value of this class of ship continues to rise.

The heavily modernized Centurion (SS) demonstrates even more reliable performance. With the help of a more dependable stellar dust damper, it always becomes a thorn in the side of any bulky ship.",,,,
WthC_scarab_SS,SHIP,"A special Scarab-class heavy frigate with a faint fusion glow on its hull, seemingly having undergone a baptism known as Stellar Synchronization. These SS-marked ships often serve as strike platforms equipped with numerous elemental nodes.

The Scarab-class heavy frigate is an extremely rare and peculiar ship, with few traces of its existence found across the Perseus sector. The few captains who have seen it are often amazed by its eerie speed, achieved by temporarily breaking the laws of space-time.

Clearly, the Scarab (SS) inherits this trait. After embedding a pair of elemental nodes with massive projection capabilities, its speed, which defies conventional laws, becomes even more deadly.

However, its tactical philosophy remains as aggressive as ever, and it has even become more fragile...",,,,
WthC_HundredEyes,SHIP,"A special Hundred Eyes-class support frigate with a faint fusion glow on its hull, seemingly having undergone a baptism known as Stellar Synchronization. These SS-marked ships often serve as strike platforms equipped with numerous elemental nodes.

For the Perseans, the Hundred Eyes-class support frigate is often hidden within the vast ship blueprint archives of the Domain. This ship seems to have a myriad of connections to the equally rare Scarab-class, perhaps a product that lost out in some competition.

Compared to the Scarab (SS)'s extreme and bizarre speed, the Hundred Eyes (SS) is equipped with an unusually large number of missiles for a frigate, providing substantial projectile support.

The trade-off is that it is often bulkier than most frigates and struggles to maintain long-term operations on the front lines.",,,,
WthC_monitor_SS,SHIP,"A special Monitor-class frigate with a faint fusion glow on its hull, seemingly having undergone a baptism known as Stellar Synchronization. These SS-marked ships often serve as strike platforms equipped with numerous elemental nodes.

This is a... Monitor, yes, that ship everyone hates. Whether as an ally, an enemy, or even piloting it yourself, it only brings more unpleasant experiences.

Even with the addition of some extremely deadly weapons, this Monitor (SS) remains largely unchanged in terms of tactical performance. So why did the Dust Witch bother to modify them?

After all, this is the doctrine she despises the most—defense-oriented. But perhaps someone out there still likes it... right?",,,,
WthC_monitor_SS_FT,SHIP,"If you feel like something is watching you from the void... don't doubt it, it's probably just an illusion.",,,,
WthC_hyperion_SS,SHIP,"A special Hyperion-class advanced gunboat with a faint fusion glow on its hull, seemingly having undergone a baptism known as Stellar Synchronization. These SS-marked ships often serve as strike platforms equipped with numerous elemental nodes.

The Hyperion has always been the safest frigate in the entire Perseus sector, bar none. Although many captains consider investing too much in these little ships a "losing bet," it is often these extreme products that find their most loyal users.

Even after extensive modifications, including the forced distortion of its iconic asymmetrical design, this Hyperion (SS) performs largely the same on the battlefield.

It's just equipped with a pair of stellar elemental nodes that are more strategically valuable than conventional weapons... just using a more advanced subsystem... and just more aesthetically pleasing to some...",,,,
WthC_hyperion_SS_S,SHIP,"A special Hyperion-class advanced gunboat with a faint fusion glow on its hull, seemingly having undergone a baptism known as Stellar Synchronization. These SS-marked ships often serve as strike platforms equipped with numerous elemental nodes. The S mark indicates that this warship was once given to a witch and often served as their flagship.

A Hyperion (SS) that has undergone additional secondary modifications, equipped with an unusually large number of built-in weapons and special equipment. This means the maintenance cost after deploying it in battle is comparable to that of some capital ships...

But clearly, as the flagship of a certain witch, this special Hyperion (SS) performs exceptionally on the battlefield. A pair of awe-inspiring lance beam weapons can almost eliminate any enemy ship, and combined with the ultimate mobility provided by the phase teleporter, it is not impossible for it to single-handedly destroy an entire star fortress...

However... this all-in gamble on a frigate means it often requires a skilled captain to unlock its full potential...

So, who will that captain be?",,,,
